game_id,league,away_team_id,home_team_id,away_team_box_score,home_team_box_score,stadium,location,tv_coverage,betting_line,betting_over_under,stadium_capacity,attendance,away_win_pct,home_win_pct,away_quarter1,away_quarter2,away_quarter3,away_quarter4,away_overtime,away_total,home_quarter1,home_quarter2,home_quarter3,home_quarter4,home_overtime,home_total,game_time,game_date
401570525,MLB,pit,cle,,,Progressive Field,"Cleveland, Ohio",,,,34788,,,,,,,,,,,,,,,,TBD,"September 1, 2024"
401570522,MLB,mil,cin,,,Great American Ball Park,"Cincinnati, Ohio",,,,43891,,,,,,,,,,,,,,,,12:10 PM,"September 1, 2024"
401570515,MLB,atl,phi,,,Citizens Bank Park,"Philadelphia, Pennsylvania",,,,42901,,,,,,,,,,,,,,,,1:35 PM,"September 1, 2024"
401570518,MLB,chc,wsh,,,Nationals Park,"Washington, District of Columbia",,,,41376,,,,,,,,,,,,,,,,1:35 PM,"September 1, 2024"
401570528,MLB,stl,nyy,,,Yankee Stadium,"Bronx, New York",,,,47309,,,,,,,,,,,,,,,,1:35 PM,"September 1, 2024"
401570517,MLB,bos,det,,,Comerica Park,"Detroit, Michigan",,,,41083,,,,,,,,,,,,,,,,1:40 PM,"September 1, 2024"
401570526,MLB,sd,tb,,,Tropicana Field,"St. Petersburg, Florida",,,,25025,,,,,,,,,,,,,,,,1:40 PM,"September 1, 2024"
401570519,MLB,kc,hou,,,Minute Maid Park,"Houston, Texas",,,,41000,,,,,,,,,,,,,,,,2:10 PM,"September 1, 2024"
401570523,MLB,nym,chw,,,Guaranteed Rate Field,"Chicago, Illinois",,,,40241,,,,,,,,,,,,,,,,2:10 PM,"September 1, 2024"
401570529,MLB,tor,min,,,Target Field,"Minneapolis, Minnesota",,,,38544,,,,,,,,,,,,,,,,2:10 PM,"September 1, 2024"
401570524,MLB,oak,tex,,,Globe Life Field,"Arlington, Texas",,,,40000,,,,,,,,,,,,,,,,2:35 PM,"September 1, 2024"
401570516,MLB,bal,col,,,Coors Field,"Denver, Colorado",,,,50144,,,,,,,,,,,,,,,,3:10 PM,"September 1, 2024"
401570521,MLB,mia,sf,,,Oracle Park,"San Francisco, California",,,,41915,,,,,,,,,,,,,,,,4:05 PM,"September 1, 2024"
401570527,MLB,sea,laa,,,Angel Stadium,"Anaheim, California",,,,45517,,,,,,,,,,,,,,,,4:07 PM,"September 1, 2024"
401570520,MLB,lad,ari,,,Chase Field,"Phoenix, Arizona",,,,48359,,,,,,,,,,,,,,,,4:10 PM,"September 1, 2024"
401570531,MLB,chw,bal,,,Oriole Park at Camden Yards,"Baltimore, Maryland",,,,45971,,,,,,,,,,,,,,,,1:05 PM,"September 2, 2024"
401570540,MLB,stl,mil,,,American Family Field,"Milwaukee, Wisconsin",,,,41700,,,,,,,,,,,,,,,,2:10 PM,"September 2, 2024"
401570532,MLB,cle,kc,,,Kauffman Stadium,"Kansas City, Missouri",,,,38427,,,,,,,,,,,,,,,,4:10 PM,"September 2, 2024"
401570534,MLB,hou,cin,,,Great American Ball Park,"Cincinnati, Ohio",,,,43891,,,,,,,,,,,,,,,,4:10 PM,"September 2, 2024"
401570535,MLB,lad,ari,,,Chase Field,"Phoenix, Arizona",,,,48359,,,,,,,,,,,,,,,,4:10 PM,"September 2, 2024"
