team_id,league,name,mascot,logo_url,conference_name,conference_wins,conference_losses,conference_ties,overall_wins,overall_losses,overall_ties
2393,CFB,Middle Tennessee,Blue Raiders,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2393.png,CUSA,0.0,0.0,0.0,0.0,0.0,0.0
344,CFB,Mississippi State,Bulldogs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/344.png,SEC,0.0,0.0,0.0,0.0,0.0,0.0
2084,CFB,Buffalo,Bulls,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2084.png,MAC,0.0,0.0,0.0,0.0,0.0,0.0
248,CFB,Houston,Cougars,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/248.png,Big 12,0.0,0.0,0.0,0.0,0.0,0.0
2633,CFB,Tennessee,Volunteers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2633.png,SEC,0.0,0.0,0.0,0.0,0.0,0.0
251,CFB,Texas,Longhorns,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png,Big 12,0.0,0.0,0.0,0.0,0.0,0.0
2377,CFB,McNeese,Cowboys,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2377.png,Southland,0.0,0.0,0.0,0.0,0.0,0.0
2016,CFB,Alcorn State,Braves,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2016.png,SWAC,0.0,0.0,0.0,0.0,0.0,0.0
2305,CFB,Kansas,Jayhawks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2305.png,Big 12,0.0,0.0,0.0,0.0,0.0,0.0
2710,CFB,Western Illinois,Leathernecks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2710.png,MVFC,0.0,0.0,0.0,0.0,0.0,0.0
66,CFB,Iowa State,Cyclones,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/66.png,Big 12,0.0,0.0,0.0,0.0,0.0,0.0
127,CFB,Michigan State,Spartans,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/127.png,Big Ten,0.0,0.0,0.0,0.0,0.0,0.0
227,CFB,Rhode Island,Rams,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/227.png,CAA,0.0,0.0,0.0,0.0,0.0,0.0
38,CFB,Colorado,Buffaloes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/38.png,Pac-12,0.0,0.0,0.0,0.0,0.0,0.0
68,CFB,Boise State,Broncos,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/68.png,Mountain West,0.0,0.0,0.0,0.0,0.0,0.0
189,CFB,Bowling Green,Falcons,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/189.png,MAC,0.0,0.0,0.0,0.0,0.0,0.0
328,CFB,Utah State,Aggies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/328.png,Mountain West,0.0,0.0,0.0,0.0,0.0,0.0
233,CFB,South Dakota,Coyotes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/233.png,MVFC,0.0,0.0,0.0,0.0,0.0,0.0
399,CFB,UAlbany,Great Danes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/399.png,CAA,0.0,0.0,0.0,0.0,0.0,0.0
2729,CFB,William & Mary,Tribe,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2729.png,CAA,0.0,0.0,0.0,0.0,0.0,0.0
2459,CFB,Northern Illinois,Huskies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2459.png,MAC,0.0,0.0,0.0,0.0,0.0,0.0
113,CFB,Massachusetts,Minutemen,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/113.png,FBS Indep.,0.0,0.0,0.0,0.0,0.0,0.0
3101,CFB,Utah Tech,Trailblazers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/3101.png,UAC,0.0,0.0,0.0,0.0,0.0,0.0
2623,CFB,Missouri State,Bears,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2623.png,MVFC,0.0,0.0,0.0,0.0,0.0,0.0
2184,CFB,Duquesne,Dukes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2184.png,NEC,0.0,0.0,0.0,0.0,0.0,0.0
2026,CFB,Appalachian State,Mountaineers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2026.png,Sun Belt,0.0,0.0,0.0,0.0,0.0,0.0
150,CFB,Duke,Blue Devils,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png,ACC,0.0,0.0,0.0,0.0,0.0,0.0
59,CFB,Georgia Tech,Yellow Jackets,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/59.png,ACC,0.0,0.0,0.0,0.0,0.0,0.0
55,CFB,Jacksonville State,Gamecocks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/55.png,CUSA,0.0,0.0,0.0,0.0,0.0,0.0
50,CFB,Florida A&M,Rattlers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/50.png,SWAC,0.0,0.0,0.0,0.0,0.0,0.0
2429,CFB,Charlotte,49ers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2429.png,American,0.0,0.0,0.0,0.0,0.0,0.0
221,CFB,Pittsburgh,Panthers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/221.png,ACC,0.0,0.0,0.0,0.0,0.0,0.0
