name,mascot,logo_url,conference_name,team_id,conference_wins,conference_losses,conference_ties,overall_wins,overall_losses,overall_ties
William & Mary,Tribe,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2729.png,CAA,2729,0.0,0.0,0.0,0.0,0.0,0.0
Northern Illinois,Huskies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2459.png,MAC,2459,0.0,0.0,0.0,0.0,0.0,0.0
Massachusetts,Minutemen,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/113.png,FBS Indep.,113,0.0,0.0,0.0,0.0,0.0,0.0
Utah Tech,Trailblazers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/3101.png,UAC,3101,0.0,0.0,0.0,0.0,0.0,0.0
Missouri State,Bears,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2623.png,MVFC,2623,0.0,0.0,0.0,0.0,0.0,0.0
Duquesne,Dukes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2184.png,NEC,2184,0.0,0.0,0.0,0.0,0.0,0.0
Appalachian State,Mountaineers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2026.png,Sun Belt,2026,0.0,0.0,0.0,0.0,0.0,0.0
Duke,Blue Devils,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png,ACC,150,0.0,0.0,0.0,0.0,0.0,0.0
Georgia Tech,Yellow Jackets,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/59.png,ACC,59,0.0,0.0,0.0,0.0,0.0,0.0
Jacksonville State,Gamecocks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/55.png,CUSA,55,0.0,0.0,0.0,0.0,0.0,0.0
Florida A&M,Rattlers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/50.png,SWAC,50,0.0,0.0,0.0,0.0,0.0,0.0
Charlotte,49ers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2429.png,American,2429,0.0,0.0,0.0,0.0,0.0,0.0
Pittsburgh,Panthers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/221.png,ACC,221,0.0,0.0,0.0,0.0,0.0,0.0
Cal Poly,Mustangs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/13.png,Big Sky,13,0.0,0.0,0.0,0.0,0.0,0.0
Marshall,Thundering Herd,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/276.png,Sun Belt,276,0.0,0.0,0.0,0.0,0.0,0.0
Virginia,Cavaliers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/258.png,ACC,258,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,Crimson Tide,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png,SEC,333,0.0,0.0,0.0,0.0,0.0,0.0
UAB,Blazers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/5.png,American,5,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico,Lobos,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/167.png,Mountain West,167,0.0,0.0,0.0,0.0,0.0,0.0
Texas A&M,Aggies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/245.png,SEC,245,0.0,0.0,0.0,0.0,0.0,0.0
Ole Miss,Rebels,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/145.png,SEC,145,0.0,0.0,0.0,0.0,0.0,0.0
Toledo,Rockets,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2649.png,MAC,2649,0.0,0.0,0.0,0.0,0.0,0.0
Tulane,Green Wave,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2655.png,American,2655,0.0,0.0,0.0,0.0,0.0,0.0
UTSA,Roadrunners,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2636.png,American,2636,0.0,0.0,0.0,0.0,0.0,0.0
Vanderbilt,Commodores,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/238.png,SEC,238,0.0,0.0,0.0,0.0,0.0,0.0
