away_school_id,home_school_id,away_school_box_score,home_school_box_score,stadium,location,game_timestamp,tv_coverage,betting_line,betting_over_under,stadium_capacity,attendance,away_win_pct,home_win_pct,game_id
2335,55,"{'1': '0', '2': '10', '3': '7', '4': '14', 'total': '31'}","{'1': '7', '2': '3', '3': '3', '4': '0', 'total': '13'}",,"Jacksonville, AL ",,,,,"Capacity: 24,000","Capacity: 24,000",,,401520312
324,2026,"{'1': '14', '2': '3', '3': '7', '4': '3', 'total': '27'}","{'1': '0', '2': '10', '3': '7', '4': '7', 'total': '24'}",Kidd Brewer Stadium,"Boone, NC ",,,,,"Capacity: 30,000","Capacity: 30,000",,,401531888
2638,2229,"{'1': '21', '2': '3', '3': '0', '4': '3', 'total': '27'}","{'1': '0', '2': '7', '3': '7', '4': '0', 'total': '14'}",Riccardo Silva Stadium,"Miami, FL ",,,,,"Capacity: 20,000","Capacity: 20,000",,,401520314
2534,166,"{'1': '0', '2': '0', '3': '6', '4': '7', 'total': '13'}","{'1': '14', '2': '13', '3': '0', '4': '0', 'total': '27'}",Aggie Memorial Stadium,"Las Cruces, NM ",,,,,"Capacity: 28,853","Capacity: 28,853",,,401520315
277,248,"{'1': '10', '2': '0', '3': '7', '4': '22', 'total': '39'}","{'1': '7', '2': '7', '3': '7', '4': '20', 'total': '41'}",TDECU Stadium,"Houston, TX ",,,,,"Capacity: 40,000","Capacity: 40,000",,,401525862
2567,151,"{'1': '14', '2': '0', '3': '0', '4': '17', 'total': '31'}","{'1': '0', '2': '10', '3': '0', '4': '0', 'total': '10'}",Dowdy-Ficklen Stadium,"Greenville, NC ",,,,,"Capacity: 50,000","Capacity: 50,000",,,401531415
2655,235,"{'1': '7', '2': '3', '3': '7', '4': '14', 'total': '31'}","{'1': '0', '2': '14', '3': '7', '4': '0', 'total': '21'}",Simmons Bank Liberty Stadium,"Memphis, TN ",,,,,"Capacity: 58,325","Capacity: 58,325",,,401531371
278,328,"{'1': '7', '2': '7', '3': '14', '4': '9', 'total': '37'}","{'1': '7', '2': '7', '3': '3', '4': '15', 'total': '32'}",Maverik Stadium,"Logan, UT ",,,,,"Capacity: 25,513","Capacity: 25,513",,,401532594
24,38,"{'1': '0', '2': '0', '3': '19', '4': '17', 'total': '10'}","{'1': '14', '2': '15', '3': '0', '4': '7', 'total': '7'}",Folsom Field,"Boulder, CO ",,,,,"Capacity: 50,183","Capacity: 50,183",,,401524029
61,238,"{'1': '7', '2': '17', '3': '3', '4': '10', 'total': '37'}","{'1': '7', '2': '0', '3': '0', '4': '13', 'total': '20'}",FirstBank Stadium,"Nashville, TN ",,,,,"Capacity: 40,350","Capacity: 40,350",,,401520327
84,130,"{'1': '7', '2': '0', '3': '0', '4': '0', 'total': '7'}","{'1': '0', '2': '21', '3': '17', '4': '14', 'total': '52'}",Michigan Stadium,"Ann Arbor, MI ",,,,,"Capacity: 107,601","Capacity: 107,601",,,401520321
194,2509,"{'1': '13', '2': '7', '3': '14', '4': '7', 'total': '41'}","{'1': '0', '2': '0', '3': '0', '4': '7', 'total': '7'}",Ross-Ade Stadium,"West Lafayette, IN ",,,,,"Capacity: 57,282","Capacity: 57,282",,,401520323
183,52,"{'1': '0', '2': '3', '3': '0', '4': '0', 'total': '3'}","{'1': '7', '2': '10', '3': '7', '4': '17', 'total': '41'}",Doak Campbell Stadium,"Tallahassee, FL ",,,,,"Capacity: 79,560","Capacity: 79,560",,,401525524
113,213,"{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}","{'1': '7', '2': '21', '3': '21', '4': '14', 'total': '63'}",Beaver Stadium,"University Park, PA ",,,,,"Capacity: 106,572","Capacity: 106,572",,,401520322
2483,264,"{'1': '8', '2': '10', '3': '8', '4': '7', 'total': '33'}","{'1': '14', '2': '8', '3': '7', '4': '7', 'total': '36'}",Husky Stadium,"Seattle, WA ",,,,,"Capacity: 70,138","Capacity: 70,138",,,401524034
30,87,"{'1': '3', '2': '3', '3': '7', '4': '7', 'total': '20'}","{'1': '7', '2': '17', '3': '7', '4': '17', 'total': '48'}",Notre Dame Stadium,"Notre Dame, IN ",,,,,"Capacity: 80,795","Capacity: 80,795",,,401524031
8,333,"{'1': '6', '2': '0', '3': '7', '4': '8', 'total': '21'}","{'1': '7', '2': '14', '3': '3', '4': '0', 'total': '24'}",Bryant-Denny Stadium,"Tuscaloosa, AL ",,,,,"Capacity: 100,077","Capacity: 100,077",,,401520316
2390,153,"{'1': '0', '2': '17', '3': '0', '4': '14', 'total': '31'}","{'1': '7', '2': '7', '3': '21', '4': '6', 'total': '41'}",Kenan Stadium,"Chapel Hill, NC ",,,,,"Capacity: 51,000","Capacity: 51,000",,,401525526
97,221,"{'1': '7', '2': '14', '3': '0', '4': '0', 'total': '21'}","{'1': '7', '2': '7', '3': '17', '4': '7', 'total': '38'}",Acrisure Stadium,"Pittsburgh, PA ",,,,,"Capacity: 68,400","Capacity: 68,400",,,401525525
26,204,"{'1': '0', '2': '10', '3': '7', '4': '7', 'total': '24'}","{'1': '13', '2': '10', '3': '13', '4': '0', 'total': '36'}",Reser Stadium,"Corvallis, OR ",,,,,"Capacity: 43,363","Capacity: 43,363",,,401524032
25,254,"{'1': '7', '2': '0', '3': '7', '4': '0', 'total': '14'}","{'1': '0', '2': '14', '3': '10', '4': '10', 'total': '34'}",Rice-Eccles Stadium,"Salt Lake City, UT ",,,,,"Capacity: 51,444","Capacity: 51,444",,,401524033
152,150,"{'1': '3', '2': '0', '3': '0', '4': '0', 'total': '3'}","{'1': '7', '2': '10', '3': '7', '4': '0', 'total': '24'}",Wallace Wade Stadium,"Durham, NC ",,,,,"Capacity: 40,004","Capacity: 40,004",,,401525523
245,2633,"{'1': '7', '2': '3', '3': '3', '4': '0', 'total': '13'}","{'1': '7', '2': '0', '3': '7', '4': '6', 'total': '20'}",Neyland Stadium,"Knoxville, TN ",,,,,"Capacity: 101,915","Capacity: 101,915",,,401520326
12,265,"{'1': '10', '2': '10', '3': '10', '4': '14', 'total': '44'}","{'1': '6', '2': '0', '3': '0', '4': '0', 'total': '6'}",Gesa Field,"Pullman, WA ",,,,,"Capacity: 32,952","Capacity: 32,952",,,401524030
2,99,"{'1': '0', '2': '7', '3': '3', '4': '8', 'total': '18'}","{'1': '17', '2': '3', '3': '14', '4': '14', 'total': '48'}",Tiger Stadium (LA),"Baton Rouge, LA ",,,,,"Capacity: 102,321","Capacity: 102,321",,,401520319
2305,197,"{'1': '7', '2': '18', '3': '7', '4': '0', 'total': '32'}","{'1': '17', '2': '7', '3': '3', '4': '12', 'total': '39'}",Boone Pickens Stadium,"Stillwater, OK ",,,,,"Capacity: 55,509","Capacity: 55,509",,,401525864
142,96,"{'1': '0', '2': '17', '3': '3', '4': '18', 'total': '38'}","{'1': '14', '2': '0', '3': '7', '4': '0', 'total': '21'}",Kroger Field,"Lexington, KY ",,,,,"Capacity: 61,000","Capacity: 61,000",,,401520318
127,164,"{'1': '7', '2': '10', '3': '7', '4': '0', 'total': '24'}","{'1': '3', '2': '3', '3': '0', '4': '21', 'total': '27'}",SHI Stadium,"Piscataway, NJ ",,,,,"Capacity: 52,454","Capacity: 52,454",,,401520324
66,2132,"{'1': '3', '2': '14', '3': '6', '4': '7', 'total': '30'}","{'1': '7', '2': '0', '3': '3', '4': '0', 'total': '10'}",Nippert Stadium,"Cincinnati, OH ",,,,,"Capacity: 38,088","Capacity: 38,088",,,401525863
218,249,"{'1': '7', '2': '7', '3': '0', '4': '0', 'total': '14'}","{'1': '14', '2': '10', '3': '7', '4': '14', 'total': '45'}",DATCU Stadium,"Denton, TX ",,,,,"Capacity: 30,850","Capacity: 30,850",,,401531390
290,256,"{'1': '0', '2': '6', '3': '0', '4': '7', 'total': '13'}","{'1': '14', '2': '6', '3': '21', '4': '0', 'total': '41'}",,"Harrisonburg, VA ",,,,,"Capacity: 24,877","Capacity: 24,877",,,401531890
2309,2199,"{'1': '0', '2': '0', '3': '7', '4': '7', 'total': '14'}","{'1': '7', '2': '7', '3': '7', '4': '7', 'total': '28'}",Rynearson Stadium,"Ypsilanti, MI ",,,,,"Capacity: 30,200","Capacity: 30,200",,,401532422
2426,2429,"{'1': '0', '2': '0', '3': '7', '4': '7', 'total': '14'}","{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}",Jerry Richardson Stadium,"Charlotte, NC ",,,,,"Capacity: 15,300","Capacity: 15,300",,,401531405
2649,2050,"{'1': '3', '2': '0', '3': '0', '4': '10', 'total': '13'}","{'1': '0', '2': '3', '3': '0', '4': '3', 'total': '6'}",Scheumann Stadium,"Muncie, IN ",,,,,"Capacity: 22,500","Capacity: 22,500",,,401532419
2653,349,"{'1': '3', '2': '13', '3': '3', '4': '0', 'total': '19'}","{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}",Michie Stadium,"West Point, NY ",,,,,"Capacity: 38,000","Capacity: 38,000",,,401520317
356,120,"{'1': '7', '2': '7', '3': '10', '4': '3', 'total': '27'}","{'1': '7', '2': '7', '3': '7', '4': '3', 'total': '24'}",SECU Stadium,"College Park, MD ",,,,,"Capacity: 54,000","Capacity: 54,000",,,401520320
57,2579,"{'1': '10', '2': '14', '3': '3', '4': '14', 'total': '41'}","{'1': '14', '2': '7', '3': '3', '4': '15', 'total': '39'}",Williams-Brice Stadium,"Columbia, SC ",,,,,"Capacity: 77,559","Capacity: 77,559",,,401520325
154,259,"{'1': '0', '2': '10', '3': '0', '4': '3', 'total': '13'}","{'1': '0', '2': '17', '3': '3', '4': '10', 'total': '30'}",Lane Stadium,"Blacksburg, VA ",,,,,"Capacity: 65,632","Capacity: 65,632",,,401525527
252,2628,"{'1': '0', '2': '8', '3': '3', '4': '0', 'total': '11'}","{'1': '14', '2': '17', '3': '10', '4': '3', 'total': '44'}",Amon G. Carter Stadium,"Fort Worth, TX ",,,,,"Capacity: 46,000","Capacity: 46,000",,,401525865
2226,58,"{'1': '7', '2': '14', '3': '21', '4': '14', 'total': '56'}","{'1': '0', '2': '14', '3': '0', '4': '0', 'total': '14'}",Raymond James Stadium,"Tampa, FL ",,,,,"Capacity: 65,844","Capacity: 65,844",,,401531420
2006,2117,"{'1': '3', '2': '0', '3': '0', '4': '7', 'total': '10'}","{'1': '0', '2': '3', '3': '14', '4': '0', 'total': '17'}",Kelly/Shorts Stadium,"Mount Pleasant, MI ",,,,,"Capacity: 30,255","Capacity: 30,255",,,401532420
189,2084,"{'1': '10', '2': '14', '3': '0', '4': '0', 'total': '24'}","{'1': '7', '2': '0', '3': '7', '4': '0', 'total': '14'}",UB Stadium,"Buffalo, NY ",,,,,"Capacity: 25,013","Capacity: 25,013",,,401532421
193,2711,"{'1': '14', '2': '7', '3': '0', '4': '13', 'total': '34'}","{'1': '3', '2': '7', '3': '3', '4': '8', 'total': '21'}",Waldo Stadium,"Kalamazoo, MI ",,,,,"Capacity: 30,200","Capacity: 30,200",,,401532423
2294,275,"{'1': '0', '2': '7', '3': '0', '4': '8', 'total': '15'}","{'1': '0', '2': '0', '3': '6', '4': '0', 'total': '6'}",Camp Randall Stadium,"Madison, WI ",,,,,"Capacity: 80,321","Capacity: 80,321",,,401520328
195,2459,"{'1': '3', '2': '10', '3': '0', '4': '0', 'total': '13'}","{'1': '7', '2': '0', '3': '10', '4': '6', 'total': '23'}",Huskie Stadium,"Dekalb, IL ",,,,,"Capacity: 23,595","Capacity: 23,595",,,401532424
2439,2440,"{'1': '14', '2': '14', '3': '10', '4': '7', 'total': '45'}","{'1': '7', '2': '0', '3': '7', '4': '13', 'total': '27'}",Mackay Stadium,"Reno, NV ",,,,,"Capacity: 30,000","Capacity: 30,000",,,401532597
23,167,"{'1': '0', '2': '14', '3': '24', '4': '14', 'total': '52'}","{'1': '3', '2': '14', '3': '0', '4': '7', 'total': '24'}",University Stadium (NM),"Albuquerque, NM ",,,,,"Capacity: 37,440","Capacity: 37,440",,,401532596
2306,2641,"{'1': '10', '2': '7', '3': '14', '4': '7', 'total': '38'}","{'1': '0', '2': '14', '3': '7', '4': '0', 'total': '21'}",Jones AT&T Stadium,"Lubbock, TX ",,,,,"Capacity: 60,454","Capacity: 60,454",,,401525866
276,2247,"{'1': '7', '2': '10', '3': '7', '4': '0', 'total': '24'}","{'1': '14', '2': '13', '3': '0', '4': '14', 'total': '41'}",,"Atlanta, GA ",,,,,"Capacity: 25,000","Capacity: 25,000",,,401531889
2433,326,"{'1': '7', '2': '0', '3': '3', '4': '10', 'total': '20'}","{'1': '3', '2': '6', '3': '0', '4': '12', 'total': '21'}",Bobcat Stadium (TX),"San Marcos, TX ",,,,,"Capacity: 30,000","Capacity: 30,000",,,401531891
2751,2005,"{'1': '14', '2': '7', '3': '0', '4': '6', 'total': '27'}","{'1': '7', '2': '10', '3': '7', '4': '10', 'total': '34'}",Falcon Stadium,"USAF Academy, CO ",,,,,"Capacity: 46,692","Capacity: 46,692",,,401532598
5,2636,"{'1': '7', '2': '6', '3': '7', '4': '0', 'total': '20'}","{'1': '21', '2': '3', '3': '7', '4': '10', 'total': '41'}",Alamodome,"San Antonio, TX ",,,,,"Capacity: 36,582","Capacity: 36,582",,,401531381
68,36,"{'1': '7', '2': '10', '3': '0', '4': '13', 'total': '30'}","{'1': '0', '2': '0', '3': '10', '4': '21', 'total': '31'}",,"Fort Collins, CO ",,,,,"Capacity: 36,500","Capacity: 36,500",,,401532593
21,62,"{'1': '10', '2': '7', '3': '3', '4': '21', 'total': '41'}","{'1': '0', '2': '14', '3': '10', '4': '10', 'total': '34'}",,"Honolulu, HI ",,,,,"Capacity: 17,000","Capacity: 17,000",,,401532595
2393,2335,"{'1': '14', '2': '7', '3': '14', '4': '0', 'total': '35'}","{'1': '14', '2': '7', '3': '14', '4': '7', 'total': '42'}",,"Lynchburg, VA ",,,,,"Capacity: 25,000","Capacity: 25,000",,,401520330
98,55,"{'1': '10', '2': '7', '3': '0', '4': '0', 'total': '17'}","{'1': '0', '2': '10', '3': '0', '4': '10', 'total': '20'}",,"Jacksonville, AL ",,,,,"Capacity: 24,000","Capacity: 24,000",,,401520329
2572,6,"{'1': '0', '2': '0', '3': '3', '4': '0', 'total': '3'}","{'1': '14', '2': '17', '3': '17', '4': '7', 'total': '55'}",Hancock Whitney Stadium,"Mobile, AL ",,,,,"Capacity: 25,450","Capacity: 25,450",,,401531892
2229,2534,"{'1': '3', '2': '7', '3': '7', '4': '3', 'total': '13'}","{'1': '0', '2': '10', '3': '0', '4': '10', 'total': '7'}",,"Huntsville, TX ",,,,,"Capacity: 14,000","Capacity: 14,000",,,401520331
166,2638,"{'1': '7', '2': '0', '3': '14', '4': '7', 'total': '28'}","{'1': '0', '2': '7', '3': '0', '4': '0', 'total': '7'}",Sun Bowl,"El Paso, TX ",,,,,"Capacity: 45,971","Capacity: 45,971",,,401520332
242,202,"{'1': '14', '2': '7', '3': '14', '4': '7', 'total': '42'}","{'1': '0', '2': '10', '3': '0', '4': '0', 'total': '10'}",Chapman Stadium,"Tulsa, OK ",,,,,"Capacity: 30,000","Capacity: 30,000",,,401531341
256,276,"{'1': '0', '2': '3', '3': '10', '4': '7', 'total': '20'}","{'1': '0', '2': '0', '3': '2', '4': '7', 'total': '9'}",Joan C. Edwards Stadium,"Huntington, WV ",,,,,"Capacity: 38,016","Capacity: 38,016",,,401531893
2567,218,"{'1': '14', '2': '10', '3': '17', '4': '14', 'total': '55'}","{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}",Lincoln Financial Field,"Philadelphia, PA ",,,,,"Capacity: 69,879","Capacity: 69,879",,,401531391
130,127,"{'1': '14', '2': '14', '3': '14', '4': '7', 'total': '49'}","{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}",Spartan Stadium,"East Lansing, MI ",,,,,"Capacity: 75,005","Capacity: 75,005",,,401520340
213,194,"{'1': '3', '2': '3', '3': '0', '4': '6', 'total': '12'}","{'1': '3', '2': '7', '3': '0', '4': '10', 'total': '20'}",Ohio Stadium,"Columbus, OH ",,,,,"Capacity: 102,780","Capacity: 102,780",,,401520343
150,52,"{'1': '10', '2': '10', '3': '0', '4': '0', 'total': '20'}","{'1': '7', '2': '10', '3': '0', '4': '21', 'total': '38'}",Doak Campbell Stadium,"Tallahassee, FL ",,,,,"Capacity: 79,560","Capacity: 79,560",,,401525530
9,264,"{'1': '0', '2': '7', '3': '0', '4': '0', 'total': '7'}","{'1': '0', '2': '3', '3': '0', '4': '12', 'total': '15'}",Husky Stadium,"Seattle, WA ",,,,,"Capacity: 70,138","Capacity: 70,138",,,401524038
2116,201,"{'1': '0', '2': '17', '3': '6', '4': '6', 'total': '29'}","{'1': '7', '2': '10', '3': '0', '4': '14', 'total': '31'}","Memorial Stadium (Norman, OK)","Norman, OK ",,,,,"Capacity: 86,112","Capacity: 86,112",,,401525871
251,248,"{'1': '14', '2': '7', '3': '3', '4': '7', 'total': '31'}","{'1': '0', '2': '14', '3': '7', '4': '3', 'total': '24'}",TDECU Stadium,"Houston, TX ",,,,,"Capacity: 40,000","Capacity: 40,000",,,401525869
265,2483,"{'1': '3', '2': '10', '3': '3', '4': '8', 'total': '24'}","{'1': '3', '2': '14', '3': '14', '4': '7', 'total': '38'}",Autzen Stadium,"Eugene, OR ",,,,,"Capacity: 54,000","Capacity: 54,000",,,401524035
258,153,"{'1': '14', '2': '0', '3': '10', '4': '7', 'total': '31'}","{'1': '7', '2': '10', '3': '7', '4': '3', 'total': '27'}",Kenan Stadium,"Chapel Hill, NC ",,,,,"Capacity: 51,000","Capacity: 51,000",,,401525531
2633,333,"{'1': '13', '2': '7', '3': '0', '4': '0', 'total': '20'}","{'1': '0', '2': '7', '3': '17', '4': '10', 'total': '34'}",Bryant-Denny Stadium,"Tuscaloosa, AL ",,,,,"Capacity: 100,077","Capacity: 100,077",,,401520333
145,2,"{'1': '14', '2': '0', '3': '7', '4': '7', 'total': '28'}","{'1': '7', '2': '7', '3': '0', '4': '7', 'total': '21'}",Jordan-Hare Stadium,"Auburn, AL ",,,,,"Capacity: 87,451","Capacity: 87,451",,,401520335
254,30,"{'1': '14', '2': '0', '3': '14', '4': '6', 'total': '34'}","{'1': '14', '2': '0', '3': '3', '4': '15', 'total': '32'}",Los Angeles Memorial Coliseum,"Los Angeles, CA ",,,,,"Capacity: 77,500","Capacity: 77,500",,,401524037
349,99,"{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}","{'1': '14', '2': '24', '3': '10', '4': '14', 'total': '62'}",Tiger Stadium (LA),"Baton Rouge, LA ",,,,,"Capacity: 102,321","Capacity: 102,321",,,401520339
2579,142,"{'1': '0', '2': '3', '3': '6', '4': '3', 'total': '12'}","{'1': '14', '2': '10', '3': '0', '4': '10', 'total': '34'}",Memorial Stadium/Faurot Field,"Columbia, MO ",,,,,"Capacity: 62,621","Capacity: 62,621",,,401520341
2005,2426,"{'1': '0', '2': '7', '3': '3', '4': '7', 'total': '17'}","{'1': '0', '2': '0', '3': '0', '4': '6', 'total': '6'}",Navy-Marine Corps Memorial Stadium,"Annapolis, MD ",,,,,"Capacity: 34,000","Capacity: 34,000",,,401531434
249,2655,"{'1': '0', '2': '0', '3': '21', '4': '7', 'total': '28'}","{'1': '7', '2': '14', '3': '7', '4': '7', 'total': '35'}",Yulman Stadium,"New Orleans, LA ",,,,,"Capacity: 30,000","Capacity: 30,000",,,401531372
135,2294,"{'1': '3', '2': '0', '3': '6', '4': '3', 'total': '12'}","{'1': '3', '2': '7', '3': '0', '4': '0', 'total': '10'}",Kinnick Stadium,"Iowa City, IA ",,,,,"Capacity: 69,250","Capacity: 69,250",,,401520338
26,24,"{'1': '14', '2': '7', '3': '14', '4': '7', 'total': '42'}","{'1': '0', '2': '0', '3': '7', '4': '0', 'total': '7'}",Stanford Stadium,"Stanford, CA ",,,,,"Capacity: 50,424","Capacity: 50,424",,,401524036
344,8,"{'1': '0', '2': '7', '3': '0', '4': '0', 'total': '7'}","{'1': '3', '2': '0', '3': '0', '4': '0', 'total': '3'}",Razorback Stadium,"Fayetteville, AR ",,,,,"Capacity: 72,000","Capacity: 72,000",,,401520334
164,84,"{'1': '7', '2': '10', '3': '7', '4': '7', 'total': '31'}","{'1': '7', '2': '7', '3': '0', '4': '0', 'total': '14'}","Memorial Stadium (Bloomington, IN)","Bloomington, IN ",,,,,"Capacity: 52,656","Capacity: 52,656",,,401520337
103,59,"{'1': '10', '2': '7', '3': '0', '4': '21', 'total': '38'}","{'1': '7', '2': '3', '3': '13', '4': '0', 'total': '23'}",Bobby Dodd Stadium,"Atlanta, GA ",,,,,"Capacity: 55,000","Capacity: 55,000",,,401525528
239,2132,"{'1': '3', '2': '17', '3': '9', '4': '3', 'total': '32'}","{'1': '0', '2': '14', '3': '0', '4': '15', 'total': '29'}",Nippert Stadium,"Cincinnati, OH ",,,,,"Capacity: 38,088","Capacity: 38,088",,,401525868
235,5,"{'1': '7', '2': '14', '3': '17', '4': '7', 'total': '45'}","{'1': '14', '2': '7', '3': '0', '4': '0', 'total': '21'}",Protective Stadium,"Birmingham, AL ",,,,,"Capacity: 47,100","Capacity: 47,100",,,401531382
2711,195,"{'1': '0', '2': '0', '3': '10', '4': '7', 'total': '17'}","{'1': '3', '2': '3', '3': '7', '4': '7', 'total': '20'}",Peden Stadium,"Athens, OH ",,,,,"Capacity: 24,000","Capacity: 24,000",,,401532428
2429,151,"{'1': '3', '2': '0', '3': '7', '4': '0', 'total': '10'}","{'1': '0', '2': '0', '3': '0', '4': '7', 'total': '7'}",Dowdy-Ficklen Stadium,"Greenville, NC ",,,,,"Capacity: 50,000","Capacity: 50,000",,,401531406
2433,290,"{'1': '7', '2': '7', '3': '3', '4': '11', 'total': '28'}","{'1': '7', '2': '24', '3': '0', '4': '7', 'total': '38'}",,"Statesboro, GA ",,,,,"Capacity: 25,000","Capacity: 25,000",,,401531894
2006,189,"{'1': '7', '2': '0', '3': '0', '4': '7', 'total': '14'}","{'1': '3', '2': '10', '3': '21', '4': '7', 'total': '41'}",Doyt L. Perry Stadium,"Bowling Green, OH ",,,,,"Capacity: 24,000","Capacity: 24,000",,,401532429
275,356,"{'1': '0', '2': '7', '3': '0', '4': '18', 'total': '25'}","{'1': '7', '2': '7', '3': '7', '4': '0', 'total': '21'}","Memorial Stadium (Champaign, IL)","Champaign, IL ",,,,,"Capacity: 60,670","Capacity: 60,670",,,401520336
77,158,"{'1': '3', '2': '3', '3': '0', '4': '3', 'total': '9'}","{'1': '3', '2': '7', '3': '0', '4': '7', 'total': '17'}","Memorial Stadium (Lincoln, NE)","Lincoln, NE ",,,,,"Capacity: 85,458","Capacity: 85,458",,,401520342
58,41,"{'1': '7', '2': '3', '3': '0', '4': '14', 'total': '24'}","{'1': '0', '2': '14', '3': '0', '4': '7', 'total': '21'}",Pratt & Whitney Stadium,"East Hartford, CT ",,,,,"Capacity: 40,000","Capacity: 40,000",,,401520344
221,154,"{'1': '7', '2': '0', '3': '0', '4': '10', 'total': '17'}","{'1': '0', '2': '7', '3': '0', '4': '14', 'total': '21'}",Allegacy Federal Credit Union Stadium,"Winston-Salem, NC ",,,,,"Capacity: 31,500","Capacity: 31,500",,,401525532
197,277,"{'1': '10', '2': '3', '3': '7', '4': '28', 'total': '48'}","{'1': '0', '2': '17', '3': '7', '4': '10', 'total': '34'}",Milan Puskar Stadium,"Morgantown, WV ",,,,,"Capacity: 60,000","Capacity: 60,000",,,401525872
2117,2050,"{'1': '3', '2': '0', '3': '7', '4': '7', 'total': '17'}","{'1': '7', '2': '3', '3': '7', '4': '7', 'total': '24'}",Scheumann Stadium,"Muncie, IN ",,,,,"Capacity: 22,500","Capacity: 22,500",,,401532425
2199,2459,"{'1': '7', '2': '3', '3': '3', '4': '0', 'total': '13'}","{'1': '7', '2': '3', '3': '0', '4': '10', 'total': '20'}",Huskie Stadium,"Dekalb, IL ",,,,,"Capacity: 23,595","Capacity: 23,595",,,401532426
2084,2309,"{'1': '7', '2': '7', '3': '3', '4': '7', 'total': '24'}","{'1': '6', '2': '0', '3': '0', '4': '0', 'total': '6'}",Dix Stadium,"Kent, OH ",,,,,"Capacity: 25,319","Capacity: 25,319",,,401532430
2649,193,"{'1': '7', '2': '14', '3': '0', '4': '0', 'total': '21'}","{'1': '0', '2': '3', '3': '14', '4': '0', 'total': '17'}",Yager Stadium,"Oxford, OH ",,,,,"Capacity: 24,286","Capacity: 24,286",,,401532427
2636,2226,"{'1': '7', '2': '13', '3': '9', '4': '7', 'total': '36'}","{'1': '10', '2': '0', '3': '0', '4': '0', 'total': '10'}",FAU Stadium,"Boca Raton, FL ",,,,,"Capacity: 29,571","Capacity: 29,571",,,401531397
62,167,"{'1': '7', '2': '7', '3': '0', '4': '7', 'total': '21'}","{'1': '14', '2': '14', '3': '7', '4': '7', 'total': '42'}",University Stadium (NM),"Albuquerque, NM ",,,,,"Capacity: 37,440","Capacity: 37,440",,,401532600
2641,252,"{'1': '0', '2': '7', '3': '0', '4': '7', 'total': '14'}","{'1': '14', '2': '10', '3': '3', '4': '0', 'total': '27'}",LaVell Edwards Stadium,"Provo, UT ",,,,,"Capacity: 63,470","Capacity: 63,470",,,401525867
2628,2306,"{'1': '3', '2': '0', '3': '0', '4': '0', 'total': '3'}","{'1': '21', '2': '6', '3': '7', '4': '7', 'total': '41'}",Bill Snyder Family Stadium,"Manhattan, KS ",,,,,"Capacity: 50,000","Capacity: 50,000",,,401525870
2026,295,"{'1': '7', '2': '7', '3': '7', '4': '0', 'total': '21'}","{'1': '0', '2': '17', '3': '3', '4': '8', 'total': '28'}",S.B. Ballard Stadium,"Norfolk, VA ",,,,,"Capacity: 21,944","Capacity: 21,944",,,401531895
324,2032,"{'1': '3', '2': '14', '3': '0', '4': '10', 'total': '27'}","{'1': '0', '2': '3', '3': '7', '4': '7', 'total': '17'}",Centennial Bank Stadium,"Jonesboro, AR ",,,,,"Capacity: 30,406","Capacity: 30,406",,,401531896
36,2439,"{'1': '0', '2': '13', '3': '0', '4': '10', 'total': '23'}","{'1': '0', '2': '3', '3': '13', '4': '9', 'total': '25'}",Allegiant Stadium,"Las Vegas, NV ",,,,,"Capacity: 65,000","Capacity: 65,000",,,401532599
328,23,"{'1': '0', '2': '14', '3': '0', '4': '7', 'total': '21'}","{'1': '14', '2': '0', '3': '14', '4': '14', 'total': '42'}",CEFCU Stadium,"San Jose, CA ",,,,,"Capacity: 30,456","Capacity: 30,456",,,401532602
228,2390,"{'1': '0', '2': '7', '3': '10', '4': '0', 'total': '3'}","{'1': '7', '2': '0', '3': '0', '4': '10', 'total': '11'}",Hard Rock Stadium,"Miami Gardens, FL ",,,,,"Capacity: 64,992","Capacity: 64,992",,,401525529
2247,309,"{'1': '0', '2': '20', '3': '0', '4': '0', 'total': '20'}","{'1': '0', '2': '7', '3': '10', '4': '0', 'total': '17'}",Cajun Field,"Lafayette, LA ",,,,,"Capacity: 41,426","Capacity: 41,426",,,401531897
2440,21,"{'1': '3', '2': '3', '3': '0', '4': '0', 'total': '6'}","{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}",Snapdragon Stadium,"San Diego, CA ",,,,,"Capacity: 35,000","Capacity: 35,000",,,401532601
166,2348,"{'1': '0', '2': '10', '3': '14', '4': '3', 'total': '27'}","{'1': '3', '2': '13', '3': '8', '4': '0', 'total': '24'}",Joe Aillet Stadium,"Ruston, LA ",,,,,"Capacity: 28,562","Capacity: 28,562",,,401520345
2335,98,"{'1': '7', '2': '7', '3': '7', '4': '21', 'total': '42'}","{'1': '7', '2': '3', '3': '0', '4': '19', 'total': '29'}",Houchens Industries-L.T. Smith Stadium,"Bowling Green, KY ",,,,,"Capacity: 23,776","Capacity: 23,776",,,401520346
