away_school_id,home_school_id,away_school_box_score,home_school_box_score,stadium,location,game_timestamp,tv_coverage,betting_line,betting_over_under,stadium_capacity,attendance,away_win_pct,home_win_pct,game_id,away_team_id,home_team_id,away_team_box_score,home_team_box_score
,,,,,"Fort Collins, CO ",,,,,"Capacity: 36,500","Attendance: 31,497",,,401523990,265,36,"{'1': '7', '2': '10', '3': '12', '4': '21', 'total': '50'}","{'1': '3', '2': '0', '3': '0', '4': '21', 'total': '24'}"
,,,,McLane Stadium,"Waco, TX ",,,,,"Capacity: 45,140","Attendance: 44,945",,,401525817,326,239,"{'1': '14', '2': '14', '3': '7', '4': '7', 'total': '42'}","{'1': '6', '2': '7', '3': '11', '4': '7', 'total': '31'}"
,,,,TDECU Stadium,"Houston, TX ",,,,,"Capacity: 40,000","Attendance: 37,862",,,401525819,2636,248,"{'1': '7', '2': '0', '3': '0', '4': '7', 'total': '14'}","{'1': '7', '2': '3', '3': '7', '4': '0', 'total': '17'}"
,,,,Boone Pickens Stadium,"Stillwater, OK ",,,,,"Capacity: 55,509","Attendance: 53,855",,,401525823,2110,197,"{'1': '0', '2': '0', '3': '7', '4': '6', 'total': '13'}","{'1': '7', '2': '6', '3': '0', '4': '14', 'total': '27'}"
,,,,Simmons Bank Liberty Stadium,"Memphis, TN ",,,,,"Capacity: 58,325","Attendance: 26,632",,,401531426,2065,235,"{'1': '7', '2': '0', '3': '0', '4': '7', 'total': '14'}","{'1': '10', '2': '18', '3': '21', '4': '7', 'total': '56'}"
,,,,M. M. Roberts Stadium,"Hattiesburg, MS ",,,,,"Capacity: 36,000","Attendance: 30,335",,,401531840,2016,2572,"{'1': '7', '2': '0', '3': '0', '4': '7', 'total': '14'}","{'1': '17', '2': '10', '3': '10', '4': '3', 'total': '40'}"
,,,,Veterans Memorial Stadium (AL),"Troy, AL ",,,,,"Capacity: 30,000","Attendance: 28,179",,,401531841,2617,2653,"{'1': '3', '2': '17', '3': '0', '4': '10', 'total': '30'}","{'1': '21', '2': '10', '3': '10', '4': '7', 'total': '48'}"
,,,,"Memorial Stadium (Champaign, IL)","Champaign, IL ",,,,,"Capacity: 60,670","Attendance: 48,898",,,401520155,2649,356,"{'1': '3', '2': '9', '3': '7', '4': '9', 'total': '28'}","{'1': '7', '2': '0', '3': '13', '4': '10', 'total': '30'}"
,,,,Lane Stadium,"Blacksburg, VA ",,,,,"Capacity: 65,632","Attendance: 65,632",,,401525467,295,259,"{'1': '0', '2': '10', '3': '7', '4': '0', 'total': '17'}","{'1': '2', '2': '14', '3': '14', '4': '6', 'total': '36'}"
,,,,Cajun Field,"Lafayette, LA ",,,,,"Capacity: 41,426","Attendance: 18,186",,,401531839,2466,309,"{'1': '3', '2': '3', '3': '0', '4': '7', 'total': '13'}","{'1': '7', '2': '14', '3': '7', '4': '10', 'total': '38'}"
